player_name,owner
Jon Rahm,Phil
Jordan Spieth,Phil
Viktor Hovland,Phil
Tommy Fleetwood,Phil
Justin Thomas,Shin
Tony Finau,Shin
Adam Scott,Shin
Phil Mickelson,Shin
Scottie Scheffler,John Song
Dustin Johnson,John Song
Cameron Smith,John Song
Hideki Matsuyama,John Song
Rory McIlroy,Josh
Cameron Young,Josh
Max Homa,Josh
Rickie Fowler,Josh
Brooks Koepka,Jason
Tom Kim,Jason
Collin Morikawa,Jason
Sahith Theegala,Jason
Jason Day,David
Xander Schauffele,David
Matt Fitzpatrick,David
Patrick Cantlay,David
